2022-05-25 20:04:26,019 INFO      server.py Определяем параметры сервера
2022-05-25 20:04:26,035 DEBUG     server.py Используется порт по умолчанию 7777
2022-05-25 20:04:26,035 INFO      server.py Используется адрес по умолчанию
2022-05-25 20:04:26,035 INFO      server.py Готовим сокет
2022-05-25 20:04:36,217 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=432, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52417)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:04:36,217 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=432, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52417)>: {'action': 'presence', 'time': 1653498275.449943, 'user': {'account_name': 'Guest'}, 'message': 'sd'}
2022-05-25 20:04:36,217 INFO      server.py проверка сообщения от клента
2022-05-25 20:04:36,232 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:04:36,234 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653498275.449943, 'user': {'account_name': 'Guest'}, 'message': 'sd'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:04:36,236 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=432, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52417)>, {'response': 200, 'message': 'SD'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:04:36,236 DEBUG     server.py Сообщение отправлено клиенту <socket.socket [closed] fd=-1, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0>
2022-05-25 20:05:30,012 INFO      server.py Определяем параметры сервера
2022-05-25 20:05:30,012 DEBUG     server.py Используется порт по умолчанию 7777
2022-05-25 20:05:30,012 INFO      server.py Используется адрес по умолчанию
2022-05-25 20:05:30,012 INFO      server.py Готовим сокет
2022-05-25 20:06:21,435 INFO      server.py Определяем параметры сервера
2022-05-25 20:06:21,435 DEBUG     server.py Используется порт по умолчанию 7777
2022-05-25 20:06:21,435 INFO      server.py Используется адрес по умолчанию
2022-05-25 20:06:21,435 INFO      server.py Готовим сокет
2022-05-25 20:07:51,112 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=452, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52454)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:07:51,112 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=452, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52454)>: {'action': 'presence', 'time': 1653498470.9377384, 'user': {'account_name': 'Guest'}, 'message': 'hh'}
2022-05-25 20:07:51,114 INFO      server.py проверка сообщения от клента
2022-05-25 20:07:51,115 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:07:51,116 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653498470.9377384, 'user': {'account_name': 'Guest'}, 'message': 'hh'},), kwargs = {}, из модуля "__main__", из функции "main"
